,Company Name,Job Description,Job Title,Location,Salary
41,"


    Raytheon
","
Control and data acquisition systems; This position requires frequent interaction and coordination with mechanical engineers, electrical engineers, scientists,...","
Electrical Engineer I
",Albuquerque,
42,"


    Ball Aerospace
","
Ability to lead a team when required or work as a low-level data collector if necessary. Our team of more than 3,000 engineers, scientists, technicians and...","
Cyber Test & Evaluation Engineer (660556)
",Albuquerque,
43,"


    LinQuest
","
Support detailed planning, instrumentation/data collection, and analysis of test data. Support JNWC assessments and tests to plan and report on critical issues....","
JNWC Operations Research Analyst - Sr
",Albuquerque,
44,"


    Presbyterian Healthcare Services
","
SKILL-Ability to effectively interact with customers to understand their needs and explain data. Add in Albuquerque’s International Balloon Fiesta, Los Alamos’...","
DIET AIDE I FULL TIME
",Albuquerque,
45,"


    Presbyterian Healthcare Services
","
SKILL-Ability to effectively interact with customers to understand their needs and explain data. Add in Albuquerque’s International Balloon Fiesta, Los Alamos’...","
APC-FAMILY PRACTICE-ACCESS - FULL TIME (1 FTE) - VARIED
",Albuquerque,
46,"


    Ball Aerospace
","
Lead the execution of test events.Analyze and evaluate test data. Advanced combined tactical and strategic communications systems involving data, voice, and...","
Senior Engineer -Systems Test- TOP SECRET CLEARANCE REQUIRED...
",Albuquerque,
47,"


    Presbyterian Healthcare Services
","
Participates in data collection and quality management activities. SKILL-Ability to effectively interact with customers to understand their needs and explain...","
MIDLEVEL- ER - FULL TIME (1 FTE) - VARIED
",Albuquerque,
48,"


    Ball Aerospace
","
Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....","
R D Mechanical Engineer (660888)
",Albuquerque,
49,"


    Presbyterian Healthcare Services
","
SKILL-Ability to effectively interact with customers to understand their needs and explain data. Add in Albuquerque’s International Balloon Fiesta, Los Alamos’...","
SECURITY TECHNICIAN FULL TIME VARIED HOURS
",Albuquerque,
50,"


    Ball Aerospace
","
Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....","
Computational Physicist I (660484)
",Albuquerque,
51,"


    Presbyterian Healthcare Services
","
SKILL-Ability to effectively interact with customers to understand their needs and explain data. Add in Albuquerque’s International Balloon Fiesta, Los Alamos’...","
COOK PH
",Albuquerque,
52,"


    Presbyterian Healthcare Services
","
SKILL-Ability to effectively interact with customers to understand their needs and explain data. Add in Albuquerque’s International Balloon Fiesta, Los Alamos’...","
MD- EMERGENCY ROOM - FULL TIME (1 FTE) - VARIED
",Albuquerque,
53,"


    Presbyterian Healthcare Services
","
SKILL-Ability to effectively interact with customers to understand their needs and explain data. Add in Albuquerque’s International Balloon Fiesta, Los Alamos’...","
HOUSEKEEPER FULL TIME
",Albuquerque,
54,"


    Presbyterian Healthcare Services
","
Records in timely manner evaluation data, progress notes and interventions with patient/family and their responses in electronic medical record (McKesson and...","
HOSPICE/PALLIATVE CARE SOCIAL WORKER
",Albuquerque,
55,"


    Presbyterian Healthcare Services
","
Add in Albuquerque’s International Balloon Fiesta, Los Alamos’ nuclear scientists, Roswell’s visitors from outer space, and....","
ASSISTANT MANAGER OF NURSING - EMERGENCY DEPARTMENT
",Albuquerque,
56,"


    Ball Aerospace
","
Use standard laboratory instrumentation such as digital multi-meters, oscilloscopes, power supplies, general optical bench equipment, and data acquisition...","
Technician I-Mechanical (660424) PART-TIME
",Albuquerque,
57,"


    Presbyterian Healthcare Services
","
SKILL-Ability to effectively interact with customers to understand their needs and explain data. Add in Albuquerque’s International Balloon Fiesta, Los Alamos’...","
PHARMACIST CLINICIAN - PART TIME (.8 FTE) - DAYS
",Albuquerque,
58,"


    SAIC
","
Ability to code data objects and mathematic calculations. Extensive experience working with scientific and technical software applications and direct...","
Java GUI Developer (SR578) Job
",Albuquerque,
60,"


    Lovelace Respiratory Research Institute
","
Experience with data modeling. Over twelve institutions in the United States utilize COINS as a complete data management solution, and dozens more sites around...","
Full Stack Software Engineer III
",Albuquerque,
61,"


    Presbyterian Healthcare Services
","
Records in timely manner evaluation data, progress notes and interventions with patient/family and their responses in electronic medical record (McKesson and...","
HOSPICE/PALLIATVE CARE SOC WKR - FULL TIME (1 FTE) - VARIED
",Albuquerque,
62,"

    1st Solution USA
","
They have engaged 1st Solution to recruit candidates for their Principal Scientist position. Mentor & develop other Scientists and assure the quality of work of...","
Principal Scientist
",Albuquerque,
63,"


    Ball Aerospace
","
Monitor, analyze, reduce, and record data. Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball...","
Technician III - Electrical (660514)
",Albuquerque,
64,"


    Presbyterian Healthcare Services
","
SKILL-Ability to effectively interact with customers to understand their needs and explain data. Add in Albuquerque’s International Balloon Fiesta, Los Alamos’...","
ADVANCED PRACTICE CLINICIANS (APC) - ER - PART TIME (.5 FTE)...
",Albuquerque,
65,"

    Klein Hersh International
","
A well-respected Healthcare System in the Southwest is looking for a Principal Scientist (Biostatistics) for their Center of Excellence for Data and Analytics....","
Principal Scientist, Biostatistics
",Albuquerque,
66,"


    Presbyterian Healthcare Services
","
SKILL-Ability to effectively interact with customers to understand their needs and explain data. Add in Albuquerque’s International Balloon Fiesta, Los Alamos’...","
MD- FAMILY MEDICINE - FULL TIME (1 FTE) - VARIED
",Albuquerque,
67,"


    Sandia National Laboratories
","
We are seeking a R&D Computer Scientist. Contribute to deeply rewarding missions through engagement with diverse computer science specialties and specialists in...","
R&D Computer Scientist C++, Java (Experienced)
",Albuquerque,
68,"


    Ball Aerospace
","
Lead the execution of test events.Analyze and evaluate test data. Advanced combined tactical and strategic communications systems involving data, voice, and...","
Engineer II - Systems Test- TOP SECRET CLEARANCE REQUIRED (6...
",Albuquerque,
69,"


    Ball Aerospace
","
Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....","
R D Systems Engineer Principal (660371)
",Albuquerque,
70,"


    Presbyterian Healthcare Services
","
SKILL-Ability to effectively interact with customers to understand their needs and explain data. Add in Albuquerque’s International Balloon Fiesta, Los Alamos’...","
STERL PROC TECH II - FULL TIME (1 FTE) - VARIED
",Albuquerque,
71,"


    Ball Aerospace
","
Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....","
R D Systems Engineer II (660372)
",Albuquerque,
72,"

    Datalytic Solutions
","
The Data Scientist will use domain expertise in a variety of specialties and applications to assist with the creation of operative solutions across industries....","
Data Scientist
",Albuquerque,
73,"


    Akima Infrastructure Services, LLC
","
Ability to code data objects and mathematic calculations. Extensive experience working with scientific and technical software applications and direct...","
Software Systems Engineer
",Albuquerque,
75,"


    Presbyterian Healthcare Services
","
Collects and records vital signs, weights, and other patient data. SKILL-Ability to effectively interact with customers to understand their needs and explain...","
NURSING TECH-INPATIENT-IA - PART TIME (.6 FTE) - DAYS
",Albuquerque,
76,"


    Ball Aerospace
","
Use standard laboratory instrumentation such as digital multi-meters, oscilloscopes, power-supplies, general optical bench equipment, optical sensors and...","
Lab Technician I - Optical (660423) PART TIME
",Albuquerque,
77,"


    Presbyterian Healthcare Services
","
SKILL-Ability to effectively interact with customers to understand their needs and explain data. Add in Albuquerque’s International Balloon Fiesta, Los Alamos’...","
FOOD SERVICE AIDE - PRN (.001 FTE) - VARIED
",Albuquerque,
78,"


    Presbyterian Healthcare Services
","
SKILL-Ability to effectively interact with customers to understand their needs and explain data. Add in Albuquerque’s International Balloon Fiesta, Los Alamos’...","
NURSING TECH-INPATIENT - FULL TIME - 12 HR DAYS
",Albuquerque,
79,"


    Presbyterian Healthcare Services
","
Add in Albuquerque’s International Balloon Fiesta, Los Alamos’ nuclear scientists, Roswell’s visitors from outer space, and....","
ASSISTANT MANAGER OF NURSING - MATERNAL SPECIALTY CARE
",Albuquerque,
81,"


    Presbyterian Healthcare Services
","
Collects and records vital signs, weights, and other patient data. SKILL-Ability to effectively interact with customers to understand their needs and explain...","
NURSING TECH-INPATIENT-IA - PART TIME (.6 FTE) - 12 HR NIGHT...
",Albuquerque,
82,"


    Presbyterian Healthcare Services
","
Add in Albuquerque’s International Balloon Fiesta, Los Alamos’ nuclear scientists, Roswell’s visitors from outer space, and Santa Fe’s artists, and you get an...","
MANAGER EMPLOYEE HEALTH -OCCUPATIONAL HEALTH
",Albuquerque,
83,"


    Presbyterian Healthcare Services
","
SKILL-Ability to effectively interact with customers to understand their needs and explain data. Add in Albuquerque’s International Balloon Fiesta, Los Alamos’...","
REGISTERED RESPIR THER - FULL TIME (.9 FTE) - DAYS
",Albuquerque,
84,"


    Presbyterian Healthcare Services
","
SKILL-Ability to effectively interact with customers to understand their needs and explain data. Add in Albuquerque’s International Balloon Fiesta, Los Alamos’...","
GEN MECHANIC II - FULL TIME (1 FTE) - VARIED
",Albuquerque,
85,"


    Presbyterian Healthcare Services
","
SKILL-Ability to effectively interact with customers to understand their needs and explain data. Add in Albuquerque’s International Balloon Fiesta, Los Alamos’...","
CERTIFIED SURG TECH-OR - FULL TIME (1 FTE) - VARIED
",Albuquerque,
86,"


    WEST Inc.
","
Finding and securing the services of high-level external scientists and technical experts for such panels. Develop relationships with and maintain open lines of...","
Science Coordinator - Albuquerque, NM - DS
",Albuquerque,
87,"


    Presbyterian Healthcare Services
","
SKILL-Ability to effectively interact with customers to understand their needs and explain data. Add in Albuquerque’s International Balloon Fiesta, Los Alamos’...","
NUCLEAR MED TECHNOLOGIST-PHG-ABQ - PRN (.001 FTE) - VARIED
",Albuquerque,
88,"


    Presbyterian Healthcare Services
","
SKILL-Ability to effectively interact with customers to understand their needs and explain data. Add in Albuquerque’s International Balloon Fiesta, Los Alamos’...","
MIDLEVEL- NURSE PRACTITIONER - PRN (.001 FTE) - DAYS
",Albuquerque,
89,"


    Ball Aerospace
","
Monitor, analyze, reduce, and record data. Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball...","
Technical Specialist Senior-Mechanical (660526)
",Albuquerque,
90,"


    Sandia National Laboratories
","
About Our Team The Data Science and Cyber Analytics Department develops new techniques and tools in machine learning, data analysis, and numerical and discrete...","
RandD Data Scientist (Experienced) with Security Clearance
",Albuquerque,
91,"


    Presbyterian Healthcare Services
","
Coordinates tracking and trending of data for peer review, reporting to the medical staff as appropriate. Add in Albuquerque’s International Balloon Fiesta, Los...","
RN - PEER REVIEW COORDINATOR
",Albuquerque,
93,"


    Presbyterian Healthcare Services
","
SKILL-Ability to effectively interact with customers to understand their needs and explain data. Add in Albuquerque’s International Balloon Fiesta, Los Alamos’...","
NURSING TECH-INPATIENT - FULL TIME - 12 HR NIGHTS
",Albuquerque,
94,"


    Presbyterian Healthcare Services
","
Add in Albuquerque’s International Balloon Fiesta, Los Alamos’ nuclear scientists, Roswell’s visitors from outer space, and....","
CLINICAL EDUCATION SPECIALIST - PROGRESSIVE CARE
",Albuquerque,
95,"

    UNM Medical Group, Inc.
","
Annual research funding of more than $72 million supports the UNMCCC's 132 cancer scientists. The coders also work directly with the Accounts Receivable and...","
Medical Coding Analyst 1
",Albuquerque,
96,"


    Ball Aerospace
","
Utilize laboratory experience including use of standard laboratory instrumentation such as DMMs, oscilloscopes, power supplies, general optical bench equipment,...","
Laboratory Support Staff-RDT&E (Research, Development, Test...
",Albuquerque,
97,"


    Ball Aerospace
","
Monitor, analyze, reduce, and record data. Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball...","
Technical Specialist II - Mechanical (659831)- MUST HAVE ACT...
",Albuquerque,
98,"


    Sandia National Laboratories
","
Real-time data collection, processing, exploitation and dissemination; What Your Job Will Be Like We are seeking a R satellite communications and control;...","
RandD Computer Scientist C++, Java (Early/Mid-Career) with S...
",Albuquerque,
99,"

    UNM Medical Group, Inc.
","
Annual research funding of more than $72 million supports the UNMCCC's 132 cancer scientists. Views imaging data for positions and size of lesions, develops...","
Medical Radiation Dosimetrist
",Albuquerque,
100,"

    UNM Medical Group, Inc.
","
Gathers, enters and updates data as required.Serves as backup support for other administrative personnel as required;...","
Ambulatory Patient Services Coordinator
",Albuquerque,$15.83 an hour
107,"

    UNM Medical Group, Inc.
","
Ability to gather data, compile information, and prepare reports. Annual research funding of more than $72 million supports the UNMCCC's 132 cancer scientists....","
Radiology Tech - CT Simulator
",Albuquerque,$25.41 an hour
111,"


    Presbyterian Healthcare Services
","
SKILL-Ability to effectively interact with customers to understand their needs and explain data. Add in Albuquerque’s International Balloon Fiesta, Los Alamos’...","
RN - MED/SURG/TELE
",Albuquerque,
173,"

    Sandia National Laboratories
","
About Our Team The Data Science and Cyber Analytics Department develops new techniques and tools in machine learning, data analysis, and numerical and discrete...","
RandD Data Scientist (Experienced) with Security Clearance
",Albuquerque,
174,"

    Presbyterian Healthcare Services
","
Add in Albuquerque’s International Balloon Fiesta, Los Alamos’ nuclear scientists, Roswell’s visitors from outer space, and....","
CLINICAL EDUCATION SPECIALIST - PROGRESSIVE CARE
",Albuquerque,
175,"

    Ball Aerospace
","
Utilize laboratory experience including use of standard laboratory instrumentation such as DMMs, oscilloscopes, power supplies, general optical bench equipment,...","
Laboratory Support Staff-RDT&E (Research, Development, Test...
",Albuquerque,
177,"

    Ball Aerospace
","
Monitor, analyze, reduce, and record data. Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball...","
Technical Specialist II - Mechanical (659831)- MUST HAVE ACT...
",Albuquerque,
178,"

    Sandia National Laboratories
","
Real-time data collection, processing, exploitation and dissemination; What Your Job Will Be Like We are seeking a R satellite communications and control;...","
RandD Computer Scientist C++, Java (Early/Mid-Career) with S...
",Albuquerque,
893,"


    Emory University
","
The Staff Scientist Asc. Essential Responsibilities include developing software algorithms and tools for analysis and interpretation of medical image data,...","
Scientist, Asc (AR) SOM
",Atlanta,"$70,600 a year"
894,"


    Capgemini
","
5-10 years professional work experience as a data scientist or on advanced analytics / statistics projects....","
Manager - Data Science
",Atlanta,
895,"


    Centers for Disease Control and Prevention
","
As a Health Scientist you will:. Identify and apply analytical methods, techniques, and tools to analyze and interpret data....","
Health Scientist
",Atlanta,"$63,161 - $82,106 a year"
896,"

    The Hexagon Lavish
","
The Data Scientist will be responsible for providing training sets of allergen data and deal with large-scale data sets with intensive hands-on code development...","
Data Scientist I
",Atlanta,
897,"

    LabPharm LLC
","
Data Analysis or Customer Service:. Candidate must have 1 – 2 years of experience in data entry and analysis....","
Data Entry & Analysis
",Atlanta,"$28,000 - $32,000 a year"
898,"


    Change Healthcare
","
Engages with business leaders and team members including data analysts and data engineers to understand the needs of the business, turn them into data...","
Data Scientist, Analytics
",Atlanta,
899,"


    Georgia Tech
","
Analyze data (quantitative and qualitative data; Protocols for coding qualitative data; Research Scientist I - Center for 21st Century Universities (C21U)....","
Research Scientist I - Center for 21st Century Universities...
",Atlanta,
900,"


    Turner
","
Demonstrated ability to conduct independent research utilizing large data sets. The Turner Story....","
Tech Fall 2017 Intern - Machine Learning
",Atlanta,
901,"


    Equifax
","
Knowledge of consumer demographics, credit bureau data or commercial data desirable. Function - Data and Analytics....","
Statistician - Risk Analytics
",Atlanta,
902,"


    Emory University
","
This associate scientist additionally offers unparalleled stability. Apkarian Integrated Electron Microscopy Core at Emory seeks to appoint an enthusiastic,...","
Associate Scientist (AR) SOM
",Atlanta,"$70,600 a year"
903,"


    Emory University
","
Provide guidance in data processing. Ensure that the core facility generates high quality cryo-EM data. Staff Scientists will have leadership responsibilities,...","
Scientist (AR) SOM
",Atlanta,"$85,500 a year"
904,"


    Turner
","
We are looking for a talented data scientist to join the CNN Research & Analytics team. The data scientist will be responsible for predictive modeling and...","
Sr Data Scientist
",Atlanta,
905,"


    Capgemini
","
Experience building scalable data pipelines and with data engineering/ feature engineering. 10+ years professional work experience as a data scientist or on...","
Senior Manager - Data Scientist
",Atlanta,
906,"


    Emory University
","
Duties will include but are not limited to experimental design, data analysis, and interpretation and communication of results of basic and/or translational...","
Scientist, Asst (AR) SOM
",Atlanta,"$58,300 a year"
907,"


    Emory University
","
Projects may also include analyses of other data types, such as longitudinal data, survival data, using conventional statistical methods....","
Bioinformatics Analyst
",Atlanta,"$64,100 a year"
908,"


    IBM
","
Work with data scientists, business stakeholders, and team members to design, build, and operational strategic analytic objectives....","
Data Analytics Software Engineer
",Atlanta,
909,"


    McKesson
","
The Data Scientist for McKesson Data & Analytics (mDNA) will be based in our Alpharetta, GA office. The Data Scientist will perform the following:....","
Sr Data Scientist
",Atlanta,
910,"


    Battelle
","
The Research Scientist will also have primary responsibility for ensuring the quality of all data collection activities to which they are assigned....","
Public Health Research Scientist
",Atlanta,
911,"


    Emory University
","
Ensures compliance of applicant data for federally compliant programs. Advises potential cancer scientists regarding expectation of faculty roles and...","
Assistant Director--Faculty Recruitment (Winship)
",Atlanta,"$85,500 a year"
912,"


    Equifax
","
Good understanding of high-level data architecture, data models and flow patterns. Function - Data and Analytics....","
Statistical Data Analyst
",Atlanta,
913,"


    SciMetrika
","
Provide appropriate contributions to the conduct of studies including leading the study design and advise on the impact of key decisions taken during the study...","
Statistician
",Atlanta,
916,"


    Siemens
","
Collaborates closely with data scientists, engineering teams, data architects, platform developers to develop data-integration solutions....","
Data Scientist (Data Acquisition & Integration Engineer)
",Atlanta,
917,"


    Emory University
","
Various personal computer software applications and familiarity with on-line data retrieval systems. Performs wealth estimations and assigns ratings based on...","
Prospect Research Analyst-Development and Alumni Relations
",Atlanta,"$53,200 a year"
918,"

    PreVisor
","
Identify opportunities for improving, collecting and analyzing data, and developing assessment content. The Research Scientist is critical to the Content and...","
Research Scientist
",Atlanta,
919,"


    Emory University
","
The ideal candidate will write clear, concise technical documents integrating raw data and relevant published studies to support conclusions....","
Technical Editor
",Atlanta,"$58,300 a year"
920,"


    VHB
","
Experience with wetland/surface waters and/or wildlife permitting, ecological surveys, ecological studies, data analysis, and data interpretation....","
Junior Ecologist
",Atlanta,
921,"


    Oak Ridge Associated Universities
","
Conducting data analysis to generate the characteristics of the simulation population. Conducting a systematic review, meta-analysis, or original data analysis...","
Statistical/Mathematical Modeler - CDC
",Atlanta,
922,"

    Brightworth
","
Dynamic, fee-only, Buckhead wealth management firm seeks an experienced investment research analyst to research investment managers and asset classes and","
Investment Research Analyst
",Atlanta,
923,"


    Turner
","
The Turner Story Turner is a division of Time Warner along with our sister companies, HBO and Warner Bros. We are better known as the folks who bring you CNN","
SR Data Scientist, Consumer Analytics
",Atlanta,
924,"


    Keysight Technologies
","
Experience with big data technologies such as Hadoop, NoSQL databases, etc. Strong computer science and mathematics grounding, with knowledge of data structures...","
Machine Learning Researcher
",Atlanta,
925,"


    Honeywell
","
Be part of a team that designs, develops and integrates highly complex software functions within Honeywell [SBG]. You will provide technical expertise as a","
Machine Learning Architect
",Atlanta,
926,"


    Cox Media Group
","
Data Extraction and Manipulation. Run data queries in Access. Create and proof cross-tabulation data tables in a timely manner....","
Advertiser Research Analyst
",Atlanta,
927,"

    HireIQ Solutions, Inc.
","
Work with our data scientist on our cutting edge machine learning toolset. Who we are*....","
Python Full Stack Engineer
",Atlanta,"$75,000 - $115,000 a year"
928,"


    ASSURANT
","
Data Scientist incorporates techniques across many disciplines – including mathematics/statistics, computer programming, data engineering, data management,...","
Sr Data Scientist - Fraud
",Atlanta,
929,"


    Georgia Tech
","
Research Scientist PVA# 36062. Developing and implementing data analysis pipelines. Assisting investigators with experimental design and data analysis....","
Research Scientist PVA# 36062
",Atlanta,
930,"


    Georgia Tech Research Institute
","
GTRI employs over 1000 world class engineers and scientists. Cyber Security Jobs, Big Data Jobs and Data Intelligence Jobs, Computer Science Jobs, Software...","
Occupational Safety and Health Research Scientist/Engineer I...
",Atlanta,
931,"


    Black & Veatch
","
Identify data gaps. The Data Manager/Project Scientist will be responsible for the following duties and responsibilities:....","
Data Manager-Project Scientist
",Atlanta,
932,"


    Emory University
","
Tasks will include regular updating of the Center website, archiving of biological data, archiving all correspondence with collaborators, acting as a liason...","
Program Coordinator
",Atlanta,"$53,200 a year"
933,"

    The Hexagon Lavish
","
Experience with TclTk, OpenGL, data visualization, computational geometry, MPI, CUDA. Prepare and deliver reports and/or presentations of research projects...","
Scientific Programmer
",Atlanta,
934,"


    QuintilesIMS
","
Prepare and present project data and supporting information. Perform data analysis, upload run data/results to LIMS system as needed....","
Senior Research Scientist, Immunoassay
",Atlanta,
935,"

    Cinchapi
","
The Cinchapi Data Platform helps business leaders understand and act on real-time data insights with an exploratory analytics platform that requires no up-front...","
Software Engineer - Backend/Machine Learning
",Atlanta,
936,"


    Cox Media Group
","
Managing a team of data analysts and data scientists. Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data....","
Director Data Management
",Atlanta,
937,"


    Lonza
","
DOE, data collection, data analysis and summary, while safely operating in and maintaining a shared lab/platform....","
Scientist
",Atlanta,
938,"

    The Hexagon Lavish
","
Demonstrated experience in study design, planning, programming and data analysis. Hexagon Lavish ( HL ™) has an open full-time/permanent position for an...","
Research Statistician
",Atlanta,
939,"

    Feedzai
","
You speak fluent software engineer and data scientist. Ability to analyze customer usage data and develop recommendations based upon data insights....","
Customer Success Manager
",Atlanta,
940,"


    AT&T
","
Data discovery around new data sources or new uses for existing data. The Data Scientist will be responsible for designing and implementing....","
Principal OR Senior-Data Scientist - BIG DATA
",Atlanta,
941,"


    Georgia Tech Research Institute
","
GTRI employs over 1000 world class engineers and scientists. Cyber Security Jobs, Big Data Jobs and Data Intelligence Jobs, Computer Science Jobs, Software...","
Occupational Health Research Scientist/Engineer I - ELSYS 12...
",Atlanta,
